title,price,link
Honda Civic 2008 OPORTUNIDADE ,R$ 25.000,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2008-oportunidade-1393849987
Honda Civic 1.8 Flex 2008/2009,R$ 38.700,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-1-8-flex-2008-2009-1392765390
Honda civic 2008,R$ 37.900,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2008-1390113112
HONDA CIVIC LXS 1.8 ANO 2007 AUTOMÁTICO ,R$ 38.000,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lxs-1-8-ano-2007-automatico-1368236725
Civic 1.8,R$ 37.000,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/civic-1-8-1384594743
Honda Civic 2008,R$ 36.990,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2008-1365290423
"Honda Civic 2009, 1.8 Flex Manual",R$ 40.000,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2009-1-8-flex-manual-1381551929
Honda Civic ,R$ 35.000,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-1381397558
Honda Civic 2007,R$ 36.500,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2007-1381108285
New Civic LXS 2008 - Jóia Rara,R$ 40.000,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/new-civic-lxs-2008-joia-rara-1388410504
